ID,"Date & Time",User,Role,Action,"Target Type","Target ID",Details,"IP Address"
23,"2026-05-24 00:36:32",Admin,admin,"placed bet",bet,11,"side: meron, amount: 5000.00",192.168.1.10
24,"2026-05-24 00:38:01",Admin,admin,"placed bet",bet,12,"side: wala, amount: 5000.00",192.168.1.10
25,"2026-05-24 00:38:11",Admin,admin,"deleted bet",bet,12,"reference: OUF-266847, side: wala, amount: 5000.00",192.168.1.10
26,"2026-05-24 00:38:20",Admin,admin,"deleted bet",bet,11,"reference: CHO-432656, side: meron, amount: 5000.00",192.168.1.10
27,"2026-05-24 00:41:21",Admin,admin,"placed bet",bet,13,"side: meron, amount: 5000.00",192.168.1.10
28,"2026-05-24 00:41:31",Admin,admin,"deleted bet",bet,13,"reference: DJM-314512, side: meron, amount: 5000.00",192.168.1.10
29,"2026-05-24 00:45:40",Admin,admin,"placed bet",bet,14,"side: meron, amount: 5000.00",192.168.1.10
30,"2026-05-24 00:45:50",Admin,admin,"placed bet",bet,15,"side: wala, amount: 5000.00",192.168.1.10
31,"2026-05-24 00:46:00",Admin,admin,"deleted bet",bet,15,"reference: NTX-662278, side: wala, amount: 5000.00",192.168.1.10
32,"2026-05-24 00:46:08",Admin,admin,"deleted bet",bet,14,"reference: 2IW-225764, side: meron, amount: 5000.00",192.168.1.10
33,"2026-05-24 01:52:33",Admin,admin,"placed bet",bet,16,"side: meron, amount: 5000.00",192.168.1.10
34,"2026-05-24 01:52:45",Admin,admin,"placed bet",bet,17,"side: wala, amount: 5000.00",192.168.1.10
35,"2026-05-24 01:52:52",Admin,admin,"deleted bet",bet,17,"reference: S8Y-994561, side: wala, amount: 5000.00",192.168.1.10
36,"2026-05-24 01:56:20",Admin,admin,"placed bet",bet,18,"side: wala, amount: 5000.00",192.168.1.10
37,"2026-05-24 01:57:41",Admin,admin,"placed bet",bet,19,"side: meron, amount: 5000.00",192.168.1.10
38,"2026-05-24 01:59:31",Admin,admin,"placed bet",bet,20,"side: wala, amount: 5000.00",192.168.1.10
39,"2026-05-24 01:59:42",Admin,admin,"deleted bet",bet,16,"reference: 5HN-638277, side: meron, amount: 5000.00",192.168.1.10
40,"2026-05-24 02:02:13",Admin,admin,"deleted bet",bet,20,"reference: XJT-159027, side: wala, amount: 5000.00",192.168.1.10
41,"2026-05-24 02:07:11",Admin,admin,"deleted bet",bet,19,"reference: MTG-685979, side: meron, amount: 5000.00",192.168.1.10
42,"2026-05-24 02:09:13",Admin,admin,"placed bet",bet,21,"side: meron, amount: 5000.00",192.168.1.10
43,"2026-05-24 02:12:00",Admin,admin,"placed bet",bet,22,"side: meron, amount: 5000.00",192.168.1.10
44,"2026-05-24 02:12:26",Admin,admin,"deleted bet",bet,22,"reference: YKX-721682, side: meron, amount: 5000.00",192.168.1.10
45,"2026-05-24 02:12:32",Admin,admin,"placed bet",bet,23,"side: meron, amount: 5000.00",192.168.1.10
46,"2026-05-24 02:16:29",Admin,admin,"deleted bet",bet,23,"reference: XJ6-523618, side: meron, amount: 5000.00",192.168.1.10
47,"2026-05-24 02:20:52",Admin,admin,"deleted bet",bet,18,"reference: XSS-304926, side: wala, amount: 5000.00",192.168.1.10
48,"2026-05-24 02:22:18",Admin,admin,"placed bet",bet,24,"side: wala, amount: 5000.00",192.168.1.10
49,"2026-05-24 02:23:24",Admin,admin,"placed bet",bet,25,"side: wala, amount: 5000.00",192.168.1.10
50,"2026-05-24 02:23:33",Admin,admin,"deleted bet",bet,25,"reference: 54G-756837, side: wala, amount: 5000.00",192.168.1.10
51,"2026-05-24 02:28:08",Admin,admin,"placed bet",bet,26,"side: meron, amount: 5000.00",192.168.1.10
52,"2026-05-24 02:28:18",Admin,admin,"deleted bet",bet,21,"reference: 0LT-149773, side: meron, amount: 5000.00",192.168.1.10
53,"2026-05-24 02:30:15",Admin,admin,"placed bet",bet,27,"side: meron, amount: 5000.00",192.168.1.10
54,"2026-05-24 02:30:26",Admin,admin,"deleted bet",bet,26,"reference: J5S-927618, side: meron, amount: 5000.00",192.168.1.10
55,"2026-05-24 02:32:12",Admin,admin,"placed bet",bet,28,"side: meron, amount: 5000.00",192.168.1.10
56,"2026-05-24 02:32:19",Admin,admin,"placed bet",bet,29,"side: wala, amount: 5000.00",192.168.1.10
